Surname,First name(s),Full name,Father's occupation,F occ grouping,Married surname,Husband's occupation,H occ grouping,Family Tree,Birthdate,Year of birth,Place of birth,Region of birth,Wikidata identifier of place,Country born,Grouped country born,Parental birthplace,Parental group,Religion,Date of death,Year of death,Place of death,Wikidata death,Region of death,Year of student registration,College,Col2,Region of College,First Qual,Group,Primary Qual,Other,1890 Location,Location 1900,Location 1905,Location 1907,Location 1908,Location 1910,Region 1910,Region 1915,Specialism,Position 1915,Region 1925,Specialism 1925,Position 1925,Missionary,India connection,China Connection,War experience,Type of war service,Obituary,Age at reg as a doctor,Age at death,Age at registration as a students,Length of study,Comments,(for Scots) Fees paid,Notes
Creaser,Emilie Constance,Emilie Constance Creaser,Builder,Builder,,,,Yes,1 Oct 1883,1883,"Louth, Ireland",Leinster,,Ireland,Ireland,England/Ireland,Eng/Ir,Methodist,,1966,Gloucester,,England,1903,EMCW,Edinburgh,Scotland,1908,Edinburgh,Edinburgh,,,,,,,Drogheda,Ireland,Cardiff,DPH,AMOH & ASMO Cardiff,London,DPH,MO Min of Health,,,,,,,25,83,20,5,,,
Cripps,Lucy Davis,Lucy Davis Cripps,Merchant,Merchant,Hopkins,Civil servant,officer,Yes,15 Aug 1887,1887,Madras,India,,India,India & Ceylon,Anglo-Indian,SA/SA,Anglican,,1960,London,,England,1907,ECMW,Edinburgh,Scotland,1912,Edinburgh,Edinburgh,,,,,,,,,Edinburgh,NS,NS,,,,,Born,,,,,25,73,20,5,Married british civil servant,73.1,
Crowther,Faith Philpot,Faith Philpot Crowther,Stationer,Retail,Laurence,Merchant,Merchant,Yes,12 Jul 1868,1869,London,London,Q84,England,England,England,Eng/Eng,,,1913,California,,America,1893,EMCW,Edinburgh,Scotland,1898,Edinburgh,Edinburgh,,,,China,Singapore,,New York,USA,Dead,Dead,Dead,Dead,Dead,Dead,EMMS,,"Worked, China",,,,29,44,24,5,,,
Cumming,Euphemia Leslie,Euphemia Leslie Cumming,Wine Merchant & Farmer,Retail,Stoker,Engineer,Engineer,Yes,1 Dec 1864,1864,Edinburgh,SE Scotland,Q23436,Scotland,Scotland,Scotland,Scot/Scot,,,1906,London,,England,1892,EMCW,Edinburgh,Scotland,1899,Edinburgh,Triple,,,,,,,,Dead,Dead,Dead,Dead,Dead,Dead,Dead,No,,,,,,35,42,28,7,,,
Cunningham,Barbara Martin,Barbara Martin Cunningham,Farmer,Farmer,MacEwan,Doctor,Medical,Yes,,1877,Ayrshire,SW Scotland,,Scotland,Scotland,Scotland/Ireland,Scot/Ir,,,1959,Edinburgh,,Scotland,1896,EMCW,Edinburgh,Scotland,1901,Edinburgh,Edinburgh,,,,,Hawick,,Nagpur,India,London,DPH,NHI Commission,London,DPH,MO Min of Health,Dufferin,"Worked, CP",,Malta,Malta,,24,82,19,5,,,
Curr,Isabella Hardie,Isabella Hardie Curr,Linen Manufacturer,Manufacturer,,,,Yes,28 Oct 1867,1867,Auchtermuchty,Central Scotland,Q758624,Scotland,Scotland,Scotland,Scot/Scot,,,1944,Fife,,Scotland,1891,ESMW,Edinburgh,Scotland,1895,Edinburgh,Triple,,,Jaffna,,,,Ceylon,Ceylon,Ceylon,NS,Mission Hospital,,,,Amer B of FM,"Worked, Ceylon",,,,,28,77,24,4,"LRCP&S Ed. OBE. For 42 years in charge of the McLeod Hospital , Ceylon: Wesleyan Mission",,
Davidson,Davidina Roberta Jeanette,Davidina Roberta Jeanette Davidson,Headmaster,Teacher,Campbell,Civil servant,officer,Yes,,1882,Falkirk,Central Scotland,,Scotland,Scotland,Scotland,Scot/Scot,Presbyterian,,1968,Greenock,,Scotland,1900,EMCW,Edinburgh,Scotland,1906,Edinburgh,Edinburgh,,,,,,,Falkirk,Scotland,Stirlingshire,DPH,ASMO,Renfrewshire,DPH,NS,,,,Kraguievatz 1-Jul-15 12-Feb-16,SWHFS,,24,86,18,6,http://smsec.rcpe.ac.uk/registration-form/campbell-davidina-roberta-f-davidson,86.12,
Davidson,Georgina Elizabeth,Georgina Elizabeth Davidson,Presbyterian Minister,Minister,,,,Yes,,1887,Edinburgh,SE Scotland,Q23436,Scotland,Scotland,Scotland,Scot/Scot,Presbyterian,,1960,Fife,,Scotland,1908,ESMW2,Edinburgh,Scotland,1914,Edinburgh,Edinburgh,,,,,,,,,,,,,,,,,,SWHFS & RAMC Malta,SWHFS & Malta,,27,73,21,6,,,
Davidson,Margaret Esther,Margaret Esther Davidson,Income Tax Inspector,Government official,Mitchell,Minister,Minister,Yes,14 Nov 1884,1884,Broughty Ferry,Central Scotland,Q459773,Scotland,Scotland,Scotland,Scot/Scot,Presbyterian,27099,1974,Perthshire,,Scotland,1902,EMCW,Edinburgh,Scotland,1908,Edinburgh,Edinburgh,,,,,,,,,Peebles,NS,NS,,,,,,,,,,24,90,18,6,,113.8,
Davidson,May Feodora Walshe,May Feodora Walshe Davidson,Doctor,Medical,Bourhill,Doctor,Medical,Yes,9 Aug 1885,1885,London,London,Q84,England,England,Ireland,Ir/Ir,Anglican,22987,1962,Lancashire,,England,1906,EMCW,Edinburgh,Scotland,1913,Edinburgh,Edinburgh,,,,,,,,,Wolverhampton,NS,NS,Wrexham,NS,Retired,,,,,,,28,77,21,7,,,
Davies,Katherine Charis,Katherine Charis Davies,Teacher and Independent Minister,Minister,,,,Yes,21 Mar 1875,1875,Anglesey,Wales,Q3401012,Wales,Wales,Wales,Eng/Eng,Congregational,,1949,Anglesey,,Wales,1893,N Wales & EMCW,Edinburgh,Scotland,1902,Edinburgh,Triple,,,,,N Wales,,,,Cheshire,NS,MO Elem Teachers Act,Cheshire,NS,MO Elem Teachers Act,,,,,,,27,74,18,9,,,
Davies,Laura Katharine,Laura Katharine Davies,Auctioneer,Commerce,Horne,Doctor,Medical,Yes,,1876,Dolgellau,Wales,,Wales,Wales,Wales,Eng/Eng,Anglican,,1967,Dorset,,England,1908,ESMW2,Edinburgh,Scotland,1913,Edinburgh,Edinburgh,,,,,,,,,W Lothian,NS,NS,Poole,Psychiatry,NS,,,,"Ed Mental Hospital and War Hospital, Bangour",War hospitals,,37,91,32,5,,,
Davies,Lucy Eveline,Lucy Eveline Davies,Cotton manager,Commerce,Lindeman,Art historian,Teacher,Yes,,1883,Lancashire,NW England,,England,England,England/American,Eng/Oth,,,1972,Netherlands,,Europe,1904,ESMW2,Edinburgh,Scotland,1910,Edinburgh,Edinburgh,,,,,,,,,,,,,,,,,,,,,27,89,21,6,,,
Davies,Mary Birrell,Mary Birrell Davies,Fish curer,Manufacturer,,,,Yes,,1864,Liverpool,NW England,,England,England,England,Eng/Eng,Presbyterian,,1917,Liverpool,,England,1894,EMCW,Edinburgh,Scotland,1899,Edinburgh,Triple,,,,,Liverpool,,,,Liverpool,NS,"HMO, Liverpool Women's Prison",,,,,,,,,,35,53,30,5,,,
Dewes,Ursula Mary,Ursula Mary Dewes,CoE Minister,Minister,Fowler,Zoologist,Teacher,Yes,,1867,Pendlebury,NW England,,England,England,England,Eng/Eng,Anglican,,1912,London,,England,1890,LSMW & EMCW,Edinburgh,Scotland,1894,Edinburgh,Triple,,,,Manchester,Manchester,,Manchester,England,,,,,,,No,,,,,,27,45,23,4,,,
Dickie,Jemima Brown,Jemima Brown Dickie,Wine and Spirit Merchant,Retail,Ratcliffe,Doctor,Medical,Yes,,1884,"Dumfries, Dumfries-shire",SW Scotland,Q652035,Scotland,Scotland,Scotland/England,Scot/Engl,Anglican,,1949,Essex,,England,1904,ESMW2,Edinburgh,Scotland,1910,Edinburgh,Edinburgh,,,,,,,,,,,,,,,,,,,,,26,65,20,6,,79.16,
Dickson,Margaret Scott,Margaret Scott Dickson,Fisherman,Manual,,,,Yes,,1872,Cockenzie,SE Scotland,,Scotland,Scotland,Scotland,Scot/Scot,,,1956,Edinburgh,,Scotland,1895,St Andrews & EMCW,Edinburgh,Scotland,1902,Edinburgh,Edinburgh,,,,,St Andrews,,,,,,,,,,,,,,,,30,84,23,7,,,
Doak,Janet Sloan,Janet Sloan Doak,Free Church Minister,Minister,Roberts,CoE Minister,Minister,Yes,,1887,Aberdeen,NE Scotland,Q36405,Scotland,Scotland,Scotland,Scot/Scot,Presbyterian,,1974,New Galloway,,Scotland,1907,EMCW,Edinburgh,Scotland,1912,Edinburgh,Edinburgh,,,,,,,,,Bradford,NS,AMO Infant clinic,Bedford,NS,NS,,,,,,,25,87,20,5,,,
Dodds,Mary Janet,Mary Janet Dodds,Presbyterian Minister,Minister,,,,Yes,,1869,Paisley,West of Scotland,,Scotland,Scotland,Scotland,Scot/Scot,Presbyterian,,1947,Edinburgh,,Scotland,1890,ESMW & EMCW,Edinburgh,Scotland,1895,Edinburgh,Triple,,,,Poona,Poona,,,India,Edinburgh,NS,NS,Edinburgh,NS,NS,CoS Medical Mission,"Worked, Bombay",,,,"OBE, DCS",26,78,21,5,,,
Douglas,Marguerite Alice Christian,Marguerite Alice Christian Douglas,Doctor,Medical,Douglas-Drummond,Doctor,Medical,Yes,,1881,Cape Town,South Africa,,South Africa,Empire,England/Scotland,Eng/Scot,Presbyterian,,1955,Cape Town,,Africa,1898,EMCW,Edinburgh,Scotland,1908,Edinburgh,Triple,,,,,,,Manchester,England,Manchester,NS,"MO to midwives, Manchester Council",Manchester,NS,AMO Manchester,,,,,,,27,74,17,10,,,
Dreaper,Adelaide Anna,Adelaide Anna Dreaper,Gentleman,Landowner & Gentleman,Renshaw,Dentist,Paramedical,Yes,29 May 1872,1872,Kilkenny,Leinster,,Ireland,Ireland,Ireland,Ir/Ir,Anglican,16198,1944,London,,England,1904,EMCW,Edinburgh,Scotland,1909,Edinburgh,Edinburgh,,,,,,,,,,,,,,,,,,,,16346,37,72,32,5,,,
Duggan,Jeanie Grant Reid,Jeanie Grant Reid Duggan,AMD,Medical,,,,Yes,,1869,Edinburgh,SE Scotland,Q23436,Scotland,Scotland,Anglo-Indian/Scotland,SA/Scot,Catholic,,1899,India,,S Asia,1888,EMCW,Edinburgh,Scotland,1895,Edinburgh,Triple,,,Sind,,,,,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Dufferin,"Worked, Hyderabad",,,,,26,30,19,7,,,
Dykes,Helen Campbell,Helen Campbell Dykes,Dentist,Paramedical,Crew,Doctor,Medical,Yes,20 Apr 1888,1888,"Dumfries, Dumfries-shire",SW Scotland,Q652035,Scotland,Scotland,Scotland,Scot/Scot,,,1971,Kent,,England,1906,EMCW,Edinburgh,Scotland,1912,Edinburgh,Edinburgh,,,,,,,,,Devon,NS,GP,Stourbridge,NS,NS,,,,,,,24,83,18,6,,,
Ebden,Alice Mary,Alice Mary Ebden,"Colonel, Bombay SC",Army Officers,Newton,Doctor,Medical,Yes,3 Jul 1878,1878,Mhow,India,,India,India & Ceylon,England,Eng/Eng,Presbyterian,,1965,Surrey,,England,1898,EMCW,Edinburgh,Scotland,1903,Edinburgh,Edinburgh,,,,Punjab,,,,,,,,,,,,"Born & Worked, Punjab",,,,,24,86,19,5,,,
Elphinstone,Isabella Ann Jamieson,Isabella Ann Jamieson Elphinstone,Baker,Retail,Bremner,doctor,Medical,Yes,,1891,Edinburgh,SE Scotland,Q23436,Scotland,Scotland,England/Scotland,Eng/Scot,,,1972,Edinburgh,,Scotland,1908,ESMW2,Edinburgh,Scotland,1913,Edinburgh,Edinburgh,,,,,,,,,Edinburgh,DPH,NS,Sheffield,DPH,MO Infant Welfare,,,,,,,22,81,17,5,,85.1,
Emslie,Isabella Galloway,Isabella Galloway Emslie,Advocate,"Legal, accounts,para-legal",Hutton,Army Officer,Armed forces,Yes,10 Sep 1887,1887,Edinburgh,SE Scotland,Q23436,Scotland,Scotland,Scotland,Scot/Scot,Presbyterian,,1960,London,,England,1905,EMCW,Edinburgh,Scotland,1910,Edinburgh,Edinburgh,MD Ed 1912,,,,,,,,Edinburgh,AMO,Asylum,,,,,"Worked, India, 1936-46",,America Unit 13-Aug-18 1-Oct-19 [Dates suspect ],SWHFS,22007,23,73,18,5,,101.17,
Engineer,Jalibai Bomanji Sorabji,Jalibai Bomanji Sorabji  Engineer,NK,NK,,,,Yes,,1880,Hyderabad,India,,India,India & Ceylon,Indian,SA/SA,Parsi,,A1918,India,,S Asia,1901,Bombay & EMCW,Edinburgh,Scotland,1906,Edinburgh,Triple,Bombay,,,,,,,,,,,,,,,"Born & worked, Bombay",,,,,26,#VALUE!,21,5,UK from 1904,,
Erskine,Elizabeth Marianne,Elizabeth Marianne Erskine,Lithographer,Artist,,,,Yes,18 Aug 1870,1870,Govan,West of Scotland,,Scotland,Scotland,Scotland/England,Scot/Engl,,,1942,Edinburgh,,Scotland,1889,ESMW,Edinburgh,Scotland,1894,Edinburgh,Triple,,,Edinburgh,Edinburgh,Edinburgh,,Edinburgh,Edinburgh,Edinburgh,Physician,EHWC,,,,No,,,,,15523,24,72,19,5,"Lived in Trinity, Edinburgh all her life from age 10 at least",,
Ewan,Elizabeth Latto,Elizabeth Latto Ewan,Free Church Minister,Minister,Gibb,Doctor,Medical,Yes,19 Jan 1875,1875,Fyvie,NE Scotland,Q68815556,Scotland,Scotland,Scotland,Scot/Scot,Presbyterian,,1965,Aberdeen,,Scotland,1891,EMCW,Edinburgh,Scotland,1895,Edinburgh,Triple,,,,,Aberdeen,,Aberdeen,Scotland,Aberdeen,NS,NS,NS,NS,NS,No,,,,,,20,90,16,4,,,
Fairfield,Josephine Letitia Denny,Josephine Letitia Denny Fairfield,Journalist,Official,,,,Yes,10 Mar 1885,1885,Melbourne,Victoria,Q3141,Australia,Empire,Ireland/Scotland,Ir/Scot,,,1978,London,,England,1902,EMCW,Edinburgh,Scotland,1907,Edinburgh,Edinburgh,,,,,,,London,London,,,,,,,,,,,,28581,22,93,17,5,,111.6,
Fergus,Annie Grange,Annie Grange Fergus,Engineer,Engineer,McIlroy,Planter,Farmer,Yes,,1881,Dunedin,New Zealand,,New Zealand,Empire,Scotland,Scot/Scot,Presbyterian,,1962,Suffolk,,England,1903,ESMW2,Edinburgh,Scotland,1910,Edinburgh,Edinburgh,,,,,,,,,,,,FMS,NS,FMSMS,,,,Malta,Malta,,29,81,22,7,"1903 Otago, 1905 UK; worked in Malaysia",,
Ferguson,Mary Olivia,Mary Olivia Ferguson,Schoolteacher,Teacher,Watson,,,,30-10-1883,1883,Fife,Central Scotland,,Scotland,Scotland,Scottish,Scot/Scot,,,,,,,1909,Dundee,Edinburgh,Scotland,1915,Edinburgh,Edinburgh,,,,,,,,,,,,,,,,,,,,,32,-1883,26,,,,
Finlayson,Mary Struthers,Mary Struthers Finlayson,Dental Surgeon,Medical,,,,Yes,,1883,Edinburgh,SE Scotland,Q23436,Scotland,Scotland,Scotland,Scot/Scot,Presbyterian,,1946,Edinburgh,,Scotland,1901,EMCW,Edinburgh,Scotland,1907,Edinburgh,Edinburgh,,,,,,,,,Edinburgh,NS,NS,,,,,,,,,,24,63,18,6,,111.6,
Fitzgerald,Eileen Josephine,Eileen Josephine Fitzgerald,Merchant,Retail,,,,Yes,,1879,Emerald HIll,Victoria,Q3965520,Australia,Empire,Ireland,Ir/Ir,CoI,,1969,Australia,,Australasia,1896,EMCW,Edinburgh,Scotland,1904,Edinburgh,Triple,,,,,Australia,,,,,,,,,,,,,,,,25,90,17,8,"1896 Melbourne, 1901 Edinburgh",,
Forbes,Helen G,Helen G Forbes,Clothier,Retail,Moffat,Teacher,Teacher,Yes,24 Jun 1883,1883,Edinburgh,SE Scotland,Q23436,Scotland,Scotland,Scotland,Scot/Scot,,,1977,Yorkshire,,England,1903,EMSW2,Edinburgh,Scotland,1908,Edinburgh,Edinburgh,,,,,,,Joppa,Edinburgh,Yorkshire,NS,ASMO,Yorkshire,DPH,ASMO East Riding,,,,,,,25,94,20,5,,112.7,
Fowler,Elspet,Elspet Fowler,Teacher,Teacher,Bursey,Army Officer,Armed forces,Yes,12 Apr 1890,1890,Stornoway,Highlands & Islands,,Scotland,Scotland,Scotland,Scot/Scot,,,1959,Cornwall,,England,1909,ESMW2,Edinburgh,Scotland,1914,Edinburgh,Edinburgh,,,,,,,,,Midlothian,NS,NS,,,,,,,,,,24,69,19,5,,107.2,
Fraser,Catherine,Catherine Fraser,Wholesale Grocer,Wholesaler,,,,Yes,25 Nov 1878,1879,Dunfermline,Central Scotland,,Scotland,Scotland,Scotland,Scot/Scot,,,1926,Dunfermline,,Scotland,1895,EMCW,Edinburgh,Scotland,1900,Edinburgh,Edinburgh,,,,,Edinburgh,,,,,,,,,,,,,,,46204,21,47,16,5,,,
Fraser later Drake,Joanna Margaret,Joanna Margaret Fraser later Drake,Photographer,Artist,,,,Yes,28 Sep 1876,1876,Dundee,Central Scotland,Q123709,Scotland,Scotland,Scotland,Scot/Scot,,,1955,Bournemouth,,England,1902,ESMW,Edinburgh,Scotland,1907,Edinburgh,Edinburgh,DTN Liverpool 1919,,,,,,Nizamabad,India,,,,,,,Wesleyan,"Worked, Hyderabad",,,,,31,79,26,5,,,
Gall,Helen Mitchell,Helen Mitchell Gall,Teacher,,,,,Yes,5 Jun 1894,1894,Loanhead,SE Scotland,,Scotland,Scotland,Scottish,Sco/Sco,,20-Jan-72,1972,Aberfeldy,,Central Scotland,,Edinburgh,Edinburgh,Scotland,1915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gardner,Agnes Josephine,Agnes Josephine Gardner,Free Church Minister,Minister,Cairns,Solicitor,Legal,Yes,,1879,"Macduff, Banffshire",NE Scotland,,Scotland,Scotland,Scotland,Scot/Scot,Presbyterian,,1949,Edinburgh,,Scotland,1897,EMCW,Edinburgh,Scotland,1902,Edinburgh,Edinburgh,,,,,Durham,,,,Stirlingshire,DPH,SMI,Stirlingshire,DPH,NS,,,,,,,23,70,18,5,,34.13,
Gardner,Mary Muter,Mary Muter Gardner,Grocer & Vanman,Retail,Barratt,Doctor,Medical,Yes,23 Dec 1886,1886,"Stonehouse, Lanarkshire",West of Scotland,,Scotland,Scotland,Scotland,Scot/Scot,,,1970,Harrow,,England,1904,EMCW,Edinburgh,Scotland,1909,Edinburgh,Edinburgh,,,,,,,,,,,,,,,,,,,,,23,84,18,5,,109.4,
Garvie,Beatrice,Beatrice Garvie,Manufacturer,Manufacturer,,,,Yes,9 May 1872,1872,Perth,Central Scotland,,Scotland,Scotland,Scotland,Scot/Scot,,,1959,Perthshire,,Scotland,1890,EMCW,Edinburgh,Scotland,1895,Edinburgh,Triple,,,Jaipur,Jaipur,Perthshire,,Perthshire,Scotland,Rotherham,DPH,"RMO, New Hospital",London,DPH,TB Temp AMO,UP,"Worked, Rajputana",,,,,23,87,18,5,,,
Geddes,Alexandra Mary Campbell,Alexandra Mary Campbell Geddes,Civil Engineer,Engineer,Chalmers-Watson,Doctor,Medical,Yes,31 May 1872,1872,Bombay,India,Q1156,India,India & Ceylon,Scotland,Scot/Scot,Presbyterian,,1936,Kent,,England,1891,EMCW,Edinburgh,Scotland,1896,Edinburgh,Edinburgh,MD Edinburgh,,Edinburgh,Edinburgh,Edinburgh,,Edinburgh,Edinburgh,Edinburgh,Gynaecologist,NS,Edinburgh,NS,Private practice,No,Born,,WAAC,,,24,64,19,5,Suffragette,,
Gellatly,Jessie Handyside,Jessie Handyside Gellatly,Solicitor,"Legal, accounts,para-legal",,,,Yes,7 Dec 1882,1882,Edinburgh,SE Scotland,Q23436,Scotland,Scotland,Scotland,Scot/Scot,,,1936,Cambridge,,England,1900,EMCW,Edinburgh,Scotland,1906,Edinburgh,Edinburgh,,,,,Leith,,London,,,,,,,,,,,Malta,Malta,,24,54,18,6,,,
George,Jessie Eleanore,Jessie Eleanore George,"Assistant in the Office of Messrs. Gillanders, Arbuthnot, and Co.",Official,,,,Yes,15 Dec 1873,1873,Calcutta,India,Q1348,India,India & Ceylon,Anglo-Indian,SA/SA,Anglican,,A1950,,,,1890,EMCW,Edinburgh,Scotland,1902,Edinburgh,Triple,,,,,,,Bedford,England,,,,,,,Dufferin,"Born & worked, Simla, 1920",,,,,29,#VALUE!,17,12,"1890 Calcutta, EMCW from 1900",,
Giffen,Grace Haxton,Grace Haxton Giffen,Presbyterian Minister,Minister,Dundas,Doctor,Medical,Yes,15 Jan 1872,1872,Roxburghshire,SE Scotland,,Scotland,Scotland,Scotland,Scot/Scot,Presbyterian,,1933,Middlesborough,,England,1890,ESMW & EMCW,Edinburgh,Scotland,1894,Edinburgh,Triple,"FRCSI 1901, DPH Cambridge 1901",,,,Ludhiana,,Kent,England,,,,,,,,"Worked, Punjab",,,,12420,22,61,18,4,,,
Gilchrist,Elizabeth Jane Taylor,Elizabeth Jane Taylor Gilchrist,Draper,Retail,,,,Yes,23 Oct 1863,1863,Greenock,West of Scotland,,Scotland,Scotland,Scotland,Scot/Scot,,25-Oct-19,1919,Greenock,,Scotland,1889,ESMW,Edinburgh,Scotland,1893,Edinburgh,Triple,,,Greenock,Greenock,Greenock,,Greenock,Glasgow,Greenock,NS,NS,,,,No,,,Malta,Malta,,30,56,26,4,,,
Gilfillan,Janet Dorothy,Janet Dorothy Gilfillan,East India Merchant,Merchant,,,,Yes,Oct 1872,1872,London,London,Q84,England,England,Scotland/Anglo-Indian,Scot/SA,Anglican,,1900,Edinburgh,,Scotland,1892,EMCW,Edinburgh,Scotland,1898,Edinburgh,Edinburgh,,,,,,,,Dead,Dead,Dead,Dead,Dead,Dead,Dead,No,Mother born India,,,,,26,28,20,6,,,
Gillam,Rosina Jane,Rosina Jane Gillam,Photographer,Artist,White then Stewart,Baptist Minister,Minister,Yes,22 Mar 1869,1869,Brechin,Central Scotland,,Scotland,Scotland,Scotland,Scot/Scot,Presbyterian,,1958,USA,,America,1893,EMCW,Edinburgh,Scotland,1898,Edinburgh,Triple,,,,,Leith,,,,Dumbartonshire,NS,NS,USA,NS,NS,EMMS/Ranaghat,"Worked, Bengal",,,,,29,89,24,5,,,
Gillespie,Annie,Annie Gillespie,Bank Manager,Official,,,,Yes,1 Jun 1866,1866,Newry,Ulster,,Ireland,Ireland,Ireland,Ir/Ir,Presbyterian,,1897,China,,Asia,1891,EMCW,Edinburgh,Scotland,1896,Edinburgh,Triple,,,,,,,,Dead,Dead,Dead,Dead,Dead,Dead,Dead,Presbyterian Church of Ireland,,Died in Manchuria,,,,30,31,25,5,,,
Gordon,Jean Paton,Jean Paton Gordon,Soda Water Bottler,Manufacturer,,,,Yes,11 Dec 1879,1879,Montrose,Central Scotland,,Scotland,Scotland,Scotland,Scot/Scot,,,1937,South Africa,,Africa,1897,EMCW,Edinburgh,Scotland,1904,Edinburgh,Edinburgh,CDTC,,,,Sheffield,,,,,,,,,,,,,Girton Newnham 31-May-15 1-Oct-15,SWHFS,,24,57,17,7,,,
Gorrie,Eleanor Amelia,Eleanor Amelia Gorrie,Chamberlain's Clerk,Official,,,,Yes,17 Apr 1881,1881,Dalkeith,SE Scotland,,Scotland,Scotland,Scotland,Scot/Scot,Presbyterian,,1960,Kent,,England,1899,EMCW,Edinburgh,Scotland,1907,Edinburgh,Edinburgh,,,,,Edinburgh,,London,London,,,,,,,,,,Malta,Malta,,26,79,18,8,,77.14,
Govindu Rajulu,Rose,Rose Govindu Rajulu,College bursar,Official,,,,Yes,,1866,Madras,India,,India,India & Ceylon,Indian,SA/SA,Indian Christian,,1921,Mysore,,S Asia,1883,ESMW,Edinburgh,Scotland,1894,Edinburgh,Triple,,,,,,,Bangalore,India,Bangalore,Obstetrician,Govt Hospital,Dead,Dead,Dead,Dufferin,"Born & worked, Bangalore",,,,,28,55,17,11,"1883 Madras, 1893 ESMW",,
Graham,Jessie Jane,Jessie Jane Graham,Joiner,Manual,Stooke,Doctor,Medical,Yes,4 May 1875,1875,Dunfermline,Central Scotland,,Scotland,Scotland,Scotland,Scot/Scot,Anglican,,1955,Warwickshire,,England,1894,ESMW & EMCW,Edinburgh,Scotland,1900,Edinburgh,Triple,,,,China,China,,Dunfermline,Scotland,,,,,,,CoSFM,,"Worked, I'Chang, CoS mission",,,20363,25,80,19,6,,,
Grandin,Lilian Mary,Lilian Mary Grandin,Iron Founder,Manufacturer,Dingle,Journalist,officer,Yes,25 Nov 1876 ,1876,Jersey,SW England,,England,England,Channel Islands,Eng/Eng,Methodist,,1924,China,,Asia,1899,EMCW,Edinburgh,Scotland,1904,Edinburgh,Triple,,,,,Yunnan,,China,China,China,NS,MO Medical mission,China,NS,MO Medical mission,Methodist,,Methodist,,,,28,48,23,5,,,
Greenep,Annie Carr,Annie Carr Greenep,Farmer,Farmer,,,,Yes,21 Apr 1887,1887,"Bentham, Yorks W",NE England,,England,England,England,Eng/Eng,Anglican,14892,1940,Sheffield,,England,1905,EMCW,Edinburgh,Scotland,1910,Edinburgh,Edinburgh,DPH Manchester 1913,,,,,,,,,,,,,,,,,,,14885,23,53,18,5,,,
Greenfield,Charlotte Rose,Charlotte Rose Greenfield,Professor of Pathology,Medical,,,,Yes,26 May 1879,1879,London,London,Q84,England,England,England,Eng/Eng,Presbyterian,,1973,Edinburgh,,Scotland,1898,EMCW,Edinburgh,Scotland,1905,Edinburgh,Edinburgh,,,,,Ludhiana,,Ludhiana,India,Poona,NS,Mission hospital,Poona,NS,Mission hospital,Ludhiana Z&MM,"Worked, Punjab",,,,,26,94,19,7,,,
Greig,Agnes Ranken Hutchison,Agnes Ranken Hutchison Greig,Presbyterian Minister,Minister,,,,Yes,19 Jun 1890,1890,Bombay,India,Q1156,India,India & Ceylon,Scotland/Anglo-Indian,Scot/SA,Presbyterian,26648,1972,Essex,,England,1909,ESMW2,Edinburgh,Scotland,1914,Edinburgh,Edinburgh,,,,,,,,,,,,Kanpur,NS,Dufferin hospital,Dufferin,Born & worked,,,,,24,82,19,5,,,
Gulland,Mabel Dalton,Mabel Dalton Gulland,Solicitor,"Legal, accounts,para-legal",Howell,Doctor,Medical,Yes,28 Jul 1877,1877,Fife,Central Scotland,,Scotland,Scotland,Scotland,Scot/Scot,Anglican,,1958,Harrow,,England,1896,EMCW,Edinburgh,Scotland,1902,Edinburgh,Edinburgh,,,,,London,,,,,,,,,,,,,,,,25,81,19,6,,,
Gunn,Elizabeth Catherine,Elizabeth Catherine Gunn,Ironmonger,Retail,,,,Yes,23 May 1879,1879,Dunedin,NZ,,New Zealand,Empire,Scotland,Scot/Scot,,,1963,New Zealand,,Australasia,1898,EMCW,Edinburgh,Scotland,1903,Edinburgh,Edinburgh,,,,,,,,,,,,,,,,,,,,,24,84,19,5,"1898 Otago, 1900 EMCW",51.9,
Gurney,Annie Mabel,Annie Mabel Gurney,Timber Merchant,Retail,,,,Yes,28 Jul 1868,1868,Hereford,West Midlands,,England,England,England,Eng/Eng,Baptist,,1953,Norfolk,,England,1898,EMCW,Edinburgh,Scotland,1903,Edinburgh,Edinburgh,,,,,,,,,,,,,,,,,,"French Red Cross, Malta",Malta & RC,19725,35,85,30,5,,,
Hamilton,Agnes Moore,Agnes Moore Hamilton,Presbyterian Minister,Minister,Learmonth,Medical Missionary,Medical and Minister,Yes,2 Jul 1877,1877,"Banbridge, Down",Ulster,Q58270,Ireland,Ireland,Ireland,Ir/Ir,Presbyterian,,1936,China,,Asia,1896,EMCW,Edinburgh,Scotland,1901,Edinburgh,Edinburgh,,,,China,China,,China,NS,Mission hospital,,,,,,Irish Presbyterian,,Worked,Malta,Malta,,24,59,19,5,,,
Hamilton,Mary Caroline,Mary Caroline Hamilton,Accountant,"Legal, accounts,para-legal",,,,Yes,29 Mar 1878 ,1876,London,London,Q84,England,England,Scotland/England,Scot/Engl,Presbyterian,,1908,Edinburgh,,Scotland,1900,EMCW,Edinburgh,Scotland,1905,Edinburgh,Triple,,,,,Edinburgh,,,,,,,,,,,,,,,,29,32,24,5,,71.8,
